"DateTime","Symbol","TradeDate","FifoPnlRealized"
"2025-08-04;080021","ABP","2025-08-04","0"
"2025-08-04;111626","ABP","2025-08-04","1.2805"
"2025-08-04;111626","ABP","2025-08-04","1.35733"
"2025-08-04;111902","ABP","2025-08-04","0.89635"
"2025-08-04;111902","ABP","2025-08-04","1.2805"
"2025-08-04;111902","ABP","2025-08-04","0.5122"
"2025-08-04;180145","ABP","2025-08-04","20.28312"
"2025-08-04;124056","ABP","2025-08-04","0"
"2025-08-04;124333","ABP","2025-08-04","0"
"2025-08-04;124333","ABP","2025-08-04","0"
"2025-08-05;040001","ABP","2025-08-05","14.79"
"2025-10-17;082050","AKAN","2025-10-17","0"
"2025-10-17;083222","AKAN","2025-10-17","-0.20242"
"2025-10-17;083222","AKAN","2025-10-17","-7.81858"
"2025-03-31;045344","AMD","2025-03-31","0"
"2025-03-31;080749","AMD","2025-03-31","0"
"2025-04-03;043146","AMD","2025-04-03","0"
"2025-04-09;053511","AMD","2025-04-09","0"
"2025-06-27;080022","AMIX","2025-06-27","0"
"2025-06-27;080234","AMIX","2025-06-27","3.670044"
"2025-06-27;080234","AMIX","2025-06-27","14.406356"
"2025-06-27;081301","AMIX","2025-06-27","0"
"2025-06-27;081301","AMIX","2025-06-27","0"
"2025-06-27;102732","AMIX","2025-06-27","-2.0247"
"2025-07-21;080035","AMIX","2025-07-21","0"
"2025-07-21;083549","AMIX","2025-07-21","0"
"2025-07-21;083550","AMIX","2025-07-21","0"
"2025-07-21;085357","AMIX","2025-07-21","32.979"
"2025-07-21;085358","AMIX","2025-07-21","42.979"
"2025-07-21;093306","AMIX","2025-07-21","0"
"2025-07-21;093427","AMIX","2025-07-21","0"
"2025-07-21;093516","AMIX","2025-07-21","0"
"2025-07-21;110011","AMIX","2025-07-21","10.1785"
"2025-07-21;110851","AMIX","2025-07-21","24.1785"
"2025-07-21;111401","AMIX","2025-07-21","33.678"
"2025-02-27;112713","AMST","2025-02-27","0"
"2025-02-27;143936","AMST","2025-02-27","0"
"2025-02-28;093001","AMST","2025-02-28","0"
"2025-02-28;094341","AMST","2025-02-28","0"
"2025-02-28;100516","AMST","2025-02-28","0"
"2025-03-03;093036","AMST","2025-03-03","-14.266187"
"2025-03-03;100428","AMST","2025-03-03","-2.72737"
"2025-03-03;100504","AMST","2025-03-03","0.196959"
"2025-03-03;100504","AMST","2025-03-03","11.969038"
"2025-03-24;040503","AMZE","2025-03-24","7.30345"
"2025-06-13;093836","AMZE","2025-06-13","-0.722865"
"2025-11-12;091444","AMZE","2025-11-12","0"
"2025-11-12;092219","AMZE","2025-11-12","0"
"2025-11-12;092821","AMZE","2025-11-12","0"
"2025-11-12;093022","AMZE","2025-11-12","0"
"2025-11-12;093034","AMZE","2025-11-12","0"
"2025-11-12;093143","AMZE","2025-11-12","0"
"2025-11-12;093416","AMZE","2025-11-12","0"
"2025-11-12;093823","AMZE","2025-11-12","0"
"2025-11-12;094538","AMZE","2025-11-12","0"
"2025-11-12;094547","AMZE","2025-11-12","0"
"2025-11-12;094632","AMZE","2025-11-12","-22.619385"
"2025-11-12;094637","AMZE","2025-11-12","-1.407533"
"2025-11-12;094645","AMZE","2025-11-12","-1.221677"
"2025-11-12;094703","AMZE","2025-11-12","-1.16872"
"2025-11-12;094717","AMZE","2025-11-12","-1.240765"
"2025-11-12;094732","AMZE","2025-11-12","-1.752606"
"2025-11-12;094748","AMZE","2025-11-12","-0.978084"
"2025-11-12;094806","AMZE","2025-11-12","-0.808897"
"2025-11-12;094856","AMZE","2025-11-12","-0.8749"
"2025-11-12;095014","AMZE","2025-11-12","-0.68878"
"2025-11-12;095134","AMZE","2025-11-12","-0.14924"
"2025-11-12;095235","AMZE","2025-11-12","-0.82441"
"2025-11-12;095244","AMZE","2025-11-12","-1.19823"
"2025-11-12;095326","AMZE","2025-11-12","-0.96125"
"2025-11-12;095428","AMZE","2025-11-12","-1.14709"
"2025-11-14;084602","AMZE","2025-11-14","0"
"2025-11-14;084712","AMZE","2025-11-14","0"
"2025-11-14;085052","AMZE","2025-11-14","0"
"2025-11-14;091313","AMZE","2025-11-14","0"
"2025-11-14;092003","AMZE","2025-11-14","0"
"2025-11-14;092354","AMZE","2025-11-14","0"
"2025-11-14;093136","AMZE","2025-11-14","1.113"
"2025-11-14;093150","AMZE","2025-11-14","0.6081"
"2025-11-14;093204","AMZE","2025-11-14","1.11485"
"2025-11-14;093216","AMZE","2025-11-14","1.742"
"2025-11-14;093223","AMZE","2025-11-14","2.29968"
"2025-11-14;093239","AMZE","2025-11-14","13.94864"
"2025-11-14;093419","AMZE","2025-11-14","0"
"2025-11-14;093420","AMZE","2025-11-14","0"
"2025-11-14;093519","AMZE","2025-11-14","0"
"2025-11-14;093556","AMZE","2025-11-14","-2.6191"
"2025-09-18;104742","APVO","2025-09-18","0"
"2025-09-18;105942","APVO","2025-09-18","-2.021"
"2025-10-28;091859","AREB","2025-10-28","0"
"2025-10-28;093746","AREB","2025-10-28","0"
"2025-10-28;095152","AREB","2025-10-28","0"
"2025-10-29;062856","AREB","2025-10-29","0"
"2025-10-29;100257","AREB","2025-10-29","0"
"2025-10-29;101917","AREB","2025-10-29","0"
"2025-10-29;102912","AREB","2025-10-29","0"
"2025-10-29;103456","AREB","2025-10-29","-1.28979"
"2025-10-29;110236","AREB","2025-10-29","-5.87571"
"2025-11-06;164101","AREB","2025-11-06","-4.2719"
"2025-11-06;164115","AREB","2025-11-06","-5.4031"
"2025-11-06;164128","AREB","2025-11-06","-9.5433"
"2025-11-11;142247","AREB","2025-11-11","-5.8961"
"2025-11-11;143547","AREB","2025-11-11","-20.1355"
"2025-11-11;161731","AREB","2025-11-11","-4.3241"
"2025-11-12;082016","AREB","2025-11-12","-10.0965"
"2025-08-27;124234","ATCH","2025-08-27","0"
"2025-08-27;124234","ATCH","2025-08-27","0"
"2025-08-27;124234","ATCH","2025-08-27","0"
"2025-08-27;124234","ATCH","2025-08-27","0"
"2025-08-29;103926","ATCH","2025-08-29","0"
"2025-08-29;142019","ATCH","2025-08-29","-27.634"
"2025-09-02;080608","ATCH","2025-09-02","0"
"2025-09-02;112409","ATCH","2025-09-02","-26.038"
"2025-09-02;112409","ATCH","2025-09-02","-10.287"
"2025-09-04;040000","ATCH","2025-09-04","0"
"2025-09-04;042825","ATCH","2025-09-04","0"
"2025-09-04;042851","ATCH","2025-09-04","0"
"2025-09-04;042858","ATCH","2025-09-04","0"
"2025-09-04;084101","ATCH","2025-09-04","0"
"2025-09-04;093111","ATCH","2025-09-04","-18.017"
"2025-09-09;042807","ATCH","2025-09-09","0"
"2025-09-09;071833","ATCH","2025-09-09","-8.25"
"2025-09-09;071833","ATCH","2025-09-09","-4.21"
"2025-09-09;111909","ATCH","2025-09-09","33.163"
"2025-09-12;113025","ATCH","2025-09-12","0"
"2025-09-12;113432","ATCH","2025-09-12","7.541"
"2025-09-12;113812","ATCH","2025-09-12","0"
"2025-09-12;113813","ATCH","2025-09-12","0"
"2025-09-12;114239","ATCH","2025-09-12","13.774"
"2025-09-15;111203","ATCH","2025-09-15","0"
"2025-09-15;111224","ATCH","2025-09-15","-3.814"
"2025-09-15;111224","ATCH","2025-09-15","-6.908"
"2025-09-15;111224","ATCH","2025-09-15","-6.828"
"2025-09-15;112036","ATCH","2025-09-15","0"
"2025-09-15;112447","ATCH","2025-09-15","36.673"
"2025-09-17;130014","ATON","2025-09-17","0"
"2025-09-17;141519","ATON","2025-09-17","0"
"2025-10-07;163906","ATON","2025-10-07","167.9895"
"2025-10-21;123357","ATON","2025-10-21","0"
"2025-10-21;164928","ATON","2025-10-21","0"
"2025-10-22;114306","ATON","2025-10-22","0"
"2025-10-24;103212","ATON","2025-10-24","0"
"2025-10-27;091045","ATON","2025-10-27","0"
"2025-10-28;100225","ATON","2025-10-28","0"
"2025-11-03;100520","ATON","2025-11-03","0"
"2025-11-04;122530","ATON","2025-11-04","0"
"2025-11-04;132457","ATON","2025-11-04","0"
"2025-11-05;062202","ATON","2025-11-05","2.30232"
"2025-11-06;165229","ATON","2025-11-06","0"
"2025-11-06;170954","ATON","2025-11-06","0"
"2025-11-07;080254","ATON","2025-11-07","0"
